Timestamp,Chess_HowGood,Chess_Deductive,Chess_Inductive,Chess_DecisionMaking,Chess_Predict,Go_HowGood,Go_Deductive,Go_Inductive,Go_DecisionMaking,Go_Predict,Poker_HowGood,Poker_Deductive,Poker_Inductive,Poker_DecisionMaking,Poker_Predict,TeamFPS_HowGood,TeamFPS_Skill,TeamFPS_Deductive,TeamFPS_Inductive,TeamFPS_DecisionMaking,TeamFPS_Predict,TeamFPS_MapGame,FFPS_HowGood,FFPS_Skill,FFPS_Deductive,FFPS_Inductive,FFPS_DecisionMaking,FFPS_Predict,FFPS_MapGame,Racing_HowGood,Racing_Skill,Racing_Deductive,Racing_Inductive,Racing_DecisionMaking,Racing_Predict,Racing_MapGame,MMORPG_HowGood,MMORPG_Skill,MMORPG_Deductive,MMORPG_Inductive,MMORPG_DecisionMaking,MMORPG_Predict,MMORPG_MapGame,RTS_HowGood,RTS_Skill,RTS_Deductive,RTS_Inductive,RTS_DecisionMaking,RTS_Predict,RTS_MapGame,RTS_dummy

2/11/2012 13:25:26,,,,,,,,,,,,,,,,Good,2,,1,2,bestplay,map,Good,2,1,2,2,bestplay,both,,,,,,,,,,,,,,,Very good,1,1,2,2,both,both,0
2/11/2012 13:29:11,Good,1,1,1,person,,,,,,Good,1,1,1,person,Very good,2,0,2,2,both,both,Good,2,2,2,2,person,both,,,,,,,,Very good,0,1,1,0,person,game,Very good,2,2,2,2,person,both,0
2/11/2012 13:30:38,Good,1,1,1,both,Good,,,,,,,,,,Good,1,0,0,0,person,map,Good,1,0,0,0,person,game,,,,,,,,Very good,0,1,1,0,bestplay,game,0
2/11/2012 13:30:55,,,,,,,,,,,,,,,,Good,1,1,2,1,person,map,Good,2,1,1,2,both,map,Good,1,0,0,1,both,both,Very good,1,2,2,2,both,game,Good,1,2,2,2,both,map,0
2/11/2012 13:33:47,,,,,,,,,,,Good,0,2,2,person,Good,1,1,0,2,bestplay,map,Very good,2,1,0,1,bestplay,game,Very good,2,0,0,1,bestplay,map,,,,,,,,Good,2,2,2,2,bestplay,game,0
2/11/2012 13:34:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,2,2,1,2,person,both,0
2/11/2012 13:34:49,Good,1,1,2,both,Good,1,1,1,both,Good,0,1,2,bestplay,Very good,2,2,2,2,both,both,Very good,2,2,2,2,both,both,Very good,2,0,0,2,bestplay,both,Very good,1,1,1,1,both,both,Good,1,2,2,2,both,both,0
2/11/2012 13:42:00,Good,2,0,2,bestplay,,,,,,Good,2,1,2,bestplay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,2,2,1,2,person,game,0
2/11/2012 13:44:13,Good,2,1,2,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very good,2,2,2,2,person,both,0
2/11/2012 13:49:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,1,2,2,1,bestplay,both,0
2/11/2012 13:49:51,Good,2,1,2,both,,,,,,Good,1,2,1,person,,,,,,,,,,,,,,,Very good,2,0,1,1,both,map,,,,,,,,Good,2,2,1,2,both,map,0
2/11/2012 13:55:54,,,,,,,,,,,Good,1,2,2,both,,,,,,,,Good,2,2,2,2,both,game,Good,2,0,0,0,,game,Very good,1,1,1,2,bestplay,game,Good,2,2,2,2,both,game,0
